Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"9","76","<[2011-10-19T23:08:48.000, 2014-07-15T23:08:48.000, 1]>",,,,,,
"716","722","<[2012-04-13T09:50:05.000, 2015-01-08T08:50:05.000, 1]>",,,,,,
"69","9","<[2011-12-04T15:51:33.000, 2014-08-30T16:51:33.000, 1]>",,,,,,
"414","10","<[2012-03-25T16:03:01.000, 2012-10-03T10:09:26.000, 1); [2012-10-03T10:09:26.000, 2014-12-20T15:03:01.000, 2); [2014-12-20T15:03:01.000, 2015-06-30T10:09:26.000, 1]>",,,,,,
"812","812","<[2012-05-09T22:47:24.000, 2012-06-20T08:05:05.000, 1); [2012-06-20T08:05:05.000, 2015-02-03T21:47:24.000, 2); [2015-02-03T21:47:24.000, 2015-03-17T07:05:05.000, 1]>",,,,,,
"722","82","<[2012-06-07T13:11:44.000, 2012-06-12T23:29:55.000, 1); [2012-06-12T23:29:55.000, 2012-07-22T13:05:21.000, 2); [2012-07-22T13:05:21.000, 2012-07-23T12:19:01.000, 3); [2012-07-23T12:19:01.000, 2015-03-04T12:11:44.000, 4); [2015-03-04T12:11:44.000, 2015-03-09T22:29:55.000, 3); [2015-03-09T22:29:55.000, 2015-04-18T13:05:21.000, 2); [2015-04-18T13:05:21.000, 2015-04-19T12:19:01.000, 1]>",,,,,,
"474","75","<[2012-03-04T16:17:48.000, 2014-11-29T16:17:48.000, 1]>",,,,,,
"975","1137","<[2012-08-01T18:34:53.000, 2015-04-28T18:34:53.000, 1]>",,,,,,
"537","4","<[2012-06-08T14:32:46.000, 2012-06-09T00:14:17.000, 1); [2012-06-09T00:14:17.000, 2012-11-05T13:57:16.000, 2); [2012-11-05T13:57:16.000, 2015-03-05T13:32:46.000, 3); [2015-03-05T13:32:46.000, 2015-03-05T23:14:17.000, 2); [2015-03-05T23:14:17.000, 2015-08-02T14:57:16.000, 1]>",,,,,,
"4","704","<[2012-04-10T10:16:46.000, 2012-04-10T12:22:58.000, 1); [2012-04-10T12:22:58.000, 2012-04-26T18:08:20.000, 2); [2012-04-26T18:08:20.000, 2015-01-05T09:16:46.000, 3); [2015-01-05T09:16:46.000, 2015-01-05T11:22:58.000, 2); [2015-01-05T11:22:58.000, 2015-01-21T17:08:20.000, 1]>",,,,,,
"10","290","<[2012-01-10T19:43:50.000, 2014-10-06T20:43:50.000, 1]>",,,,,,
"401","4","<[2012-08-27T15:14:23.000, 2015-05-24T15:14:23.000, 1]>",,,,,,
"468","825","<[2012-05-15T18:03:45.000, 2015-02-09T17:03:45.000, 1]>",,,,,,
"4","4","<[2012-04-27T12:04:42.000, 2012-06-18T09:58:23.000, 1); [2012-06-18T09:58:23.000, 2012-06-23T10:58:04.000, 2); [2012-06-23T10:58:04.000, 2012-07-24T17:58:51.000, 3); [2012-07-24T17:58:51.000, 2012-08-17T16:27:40.000, 4); [2012-08-17T16:27:40.000, 2015-01-22T11:04:42.000, 5); [2015-01-22T11:04:42.000, 2015-03-15T08:58:23.000, 4); [2015-03-15T08:58:23.000, 2015-03-20T09:58:04.000, 3); [2015-03-20T09:58:04.000, 2015-04-20T17:58:51.000, 2); [2015-04-20T17:58:51.000, 2015-05-14T16:27:40.000, 1]>",,,,,,
"690","8","<[2012-04-19T16:32:37.000, 2012-09-11T00:15:45.000, 1); [2012-09-11T00:15:45.000, 2015-01-14T15:32:37.000, 2); [2015-01-14T15:32:37.000, 2015-06-08T00:15:45.000, 1]>",,,,,,
"209","369","<[2012-02-23T13:14:35.000, 2014-11-19T13:14:35.000, 1]>",,,,,,
"700","439","<[2012-05-10T20:03:58.000, 2012-05-17T08:33:01.000, 1); [2012-05-17T08:33:01.000, 2012-05-18T11:09:41.000, 2); [2012-05-18T11:09:41.000, 2015-02-04T19:03:58.000, 3); [2015-02-04T19:03:58.000, 2015-02-11T07:33:01.000, 2); [2015-02-11T07:33:01.000, 2015-02-12T10:09:41.000, 1]>",,,,,,
"4","932","<[2012-07-13T00:57:17.000, 2012-07-15T20:53:04.000, 1); [2012-07-15T20:53:04.000, 2012-08-09T20:53:48.000, 2); [2012-08-09T20:53:48.000, 2012-10-15T09:41:20.000, 3); [2012-10-15T09:41:20.000, 2012-11-29T10:56:14.000, 4); [2012-11-29T10:56:14.000, 2015-04-09T00:57:17.000, 5); [2015-04-09T00:57:17.000, 2015-04-11T20:53:04.000, 4); [2015-04-11T20:53:04.000, 2015-05-06T20:53:48.000, 3); [2015-05-06T20:53:48.000, 2015-07-12T09:41:20.000, 2); [2015-07-12T09:41:20.000, 2015-08-26T11:56:14.000, 1]>",,,,,,
"996","8","<[2012-06-07T13:59:14.000, 2015-03-04T12:59:14.000, 1]>",,,,,,
